Region,Year,annual_rainfall_mm,annual_mean_temp_c,annual_max_temp_c
North East,2008,27.89,27.502307692307696,43.93
North East,2009,16.65,28.861538461538462,43.87
North East,2010,25.15,28.302307692307693,45.32
North East,2011,21.040000000000003,28.077692307692306,43.88
North East,2012,27.52,27.536153846153848,44.62
North East,2013,22.080000000000002,28.479230769230767,43.96
North East,2014,21.14,28.27846153846154,43.68
North East,2015,13.170000000000002,28.553846153846152,44.36
North East,2016,21.440000000000005,28.450769230769232,44.67
North East,2017,17.69,28.50230769230769,44.65
North East,2018,18.44,28.35538461538461,44.22
North East,2019,19.279999999999998,28.536153846153844,45.48
North East,2020,19.189999999999998,28.056923076923077,44.38
North East,2021,15.72,28.490000000000002,44.01
North East,2022,16.85,27.759230769230765,44.74
North East,2023,12.13,29.614615384615384,43.79
North West,1990,28.51,25.151538461538465,39.94
North West,1991,33.23,24.87153846153847,40.68
North West,1992,33.93,24.14923076923077,39.99
North West,1993,32.57,24.643846153846148,39.7
North West,1994,43.220000000000006,24.122307692307693,40.29
North West,1995,37.599999999999994,24.093846153846155,39.01
North West,1996,36.309999999999995,24.45384615384615,39.71
North West,1997,34.57,24.48615384615385,39.4
North West,1998,39.089999999999996,24.99692307692308,41.38
North West,1999,19.19,25.83692307692307,40.4
North West,2000,32.28,24.96153846153846,41.84
North West,2001,30.359999999999996,24.75,40.92
North West,2002,31.8,25.138461538461534,41.44
North West,2003,29.869999999999994,25.524615384615384,41.33
North West,2004,15.919999999999998,26.341538461538462,40.59
North West,2005,20.87,26.788461538461533,41.65
North West,2006,19.33,26.54,41.23
North West,2007,34.68,25.10769230769231,42.05
North West,2008,29.260000000000005,24.97384615384615,40.88
North West,2009,20.150000000000002,26.35923076923077,40.4
North West,2010,26.709999999999997,25.89076923076923,42.58
North West,2011,22.000000000000004,25.657692307692308,41.07
North West,2012,34.99,25.066153846153842,41.33
North West,2013,16.16,26.538461538461544,40.61
North West,2014,24.48,26.33,41.19
North West,2015,25.76,25.611538461538466,41.83
North West,2016,26.599999999999998,25.93076923076923,41.25
North West,2017,25.350000000000005,25.79769230769231,41.53
North West,2018,23.32,25.895384615384614,41.18
North West,2019,26.71999999999999,25.95230769230769,41.15
North West,2020,46.94,24.685384615384617,40.07
North West,2021,85.77999999999999,24.59384615384615,41.33
North West,2022,38.699999999999996,23.51384615384615,39.35
North West,2023,21.94,26.356153846153852,41.13
South East,1990,45.65,25.432307692307692,33.55
South East,1991,46.19,25.321538461538463,33.34
South East,1992,70.84,24.766153846153845,35.03
South East,1993,72.83000000000001,24.933846153846154,32.79
South East,1994,75.02,24.876153846153848,32.71
South East,1995,85.47000000000001,25.01923076923077,32.75
South East,1996,72.0,25.12923076923077,33.37
South East,1997,65.50999999999999,25.01307692307692,32.69
South East,1998,54.6,25.635384615384616,35.01
South East,1999,40.32,25.516923076923074,32.83
South East,2000,113.92999999999999,25.064615384615387,33.99
South East,2001,67.78999999999999,25.017692307692304,32.47
South East,2002,63.14,25.216923076923077,33.91
South East,2003,59.6,25.58076923076923,33.68
South East,2004,52.290000000000006,25.537692307692314,33.3
South East,2005,48.43,25.73461538461538,33.03
South East,2006,60.71000000000001,25.596923076923076,33.45
South East,2007,81.75,25.16769230769231,33.05
South East,2008,46.529999999999994,25.26846153846154,32.24
South East,2009,48.96999999999999,25.727692307692312,33.25
South East,2010,64.53,25.813846153846153,33.98
South East,2011,59.7,25.24230769230769,32.41
South East,2012,57.690000000000005,25.303076923076926,32.38
South East,2013,61.59,25.493846153846157,33.03
South East,2014,39.79,25.773846153846154,33.22
South East,2015,45.940000000000005,25.535384615384615,33.22
South East,2016,60.8,25.91769230769231,35.48
South East,2017,64.3,25.85076923076923,33.08
